Date,ARS=X,AUD=X,BDT=X,BRL=X,CAD=X,CHF=X,CLP=X,CNY=X,COP=X,CZK=X,DKK=X,EGP=X,EUR=X,GBP=X,GHS=X,HKD=X,HUF=X,IDR=X,INR=X,JPY=X,KES=X,KRW=X,MXN=X,MYR=X,NGN=X,NOK=X,NZD=X,PEN=X,PHP=X,PKR=X,PLN=X,RUB=X,SEK=X,SGD=X,THB=X,TND=X,TRY=X,USD=X,VND=X,ZAR=X
2017-06-02,16.04599952697754,1.3551000356674194,79.2969970703125,3.249000072479248,1.3515499830245972,0.9710999727249146,672.0,6.808599948883057,2832.10009765625,23.452699661254883,6.632699966430664,17.97260093688965,0.8916000127792358,0.7759000062942505,4.2881999015808105,7.7908501625061035,274.52301025390625,13288.0,64.37229919433594,111.43699645996094,101.62999725341797,1121.0400390625,18.665990829467773,4.277500152587891,314.5,8.452159881591797,1.4160300493240356,3.2032999992370605,49.65999984741211,103.54000091552734,3.738140106201172,56.37929916381836,8.680379867553711,1.3864200115203857,34.150001525878906,2.45989990234375,3.5297999382019043,,22227.0,12.88739013671875
2017-06-05,16.035999298095703,1.3461300134658813,78.74600219726562,3.2492001056671143,1.3498400449752808,0.9628400206565857,669.7999877929688,6.81279993057251,2898.25,23.340700149536133,6.594649791717529,17.973499298095703,0.88646000623703,0.7770000100135803,4.265900135040283,7.789780139923096,272.5169982910156,13304.0,64.40499877929688,110.46299743652344,101.56999969482422,1117.449951171875,18.332000732421875,4.261000156402588,322.0,8.423399925231934,1.401110053062439,3.184499979019165,49.617000579833984,102.81999969482422,3.707740068435669,56.60609817504883,8.623220443725586,1.3817499876022339,34.04800033569336,2.4214000701904297,3.505389928817749,,22335.0,12.814000129699707
2017-06-06,16.024999618530273,1.3356000185012817,79.05599975585938,3.296099901199341,1.3477699756622314,0.9649999737739563,668.7000122070312,6.802800178527832,2893.580078125,23.3572998046875,6.608500003814697,18.0939998626709,0.8883500099182129,0.7747499942779541,4.317699909210205,7.792300224304199,272.8699951171875,13283.0,64.34400177001953,110.38099670410156,101.56999969482422,1116.949951171875,18.2532901763916,4.269999980926514,321.0,8.442399978637695,1.4024100303649902,3.1972999572753906,49.275001525878906,103.16000366210938,3.7175099849700928,56.58110046386719,8.652939796447754,1.3809000253677368,34.00600051879883,2.4263999462127686,3.524600028991699,,22311.0,12.690529823303223
2017-06-07,16.010000228881836,1.3315999507904053,78.95600128173828,3.2760000228881836,1.3449599742889404,0.9625200033187866,668.5999755859375,6.7957000732421875,2913.780029296875,23.33989906311035,6.598090171813965,18.096500396728516,0.8871999979019165,0.7747899889945984,4.242400169372559,7.793300151824951,273.3599853515625,13259.0,64.42050170898438,109.50900268554688,101.58000183105469,1117.4599609375,18.25326919555664,4.258999824523926,322.0,8.459589958190918,1.3926399946212769,3.189300060272217,49.36000061035156,103.16000366210938,3.7212400436401367,56.48529815673828,8.671649932861328,1.3796499967575073,33.93899917602539,2.4296998977661133,3.5136001110076904,,22252.0,12.809000015258789
2017-06-08,15.98799991607666,1.3258999586105347,78.83799743652344,3.2672998905181885,1.3510500192642212,0.9647300243377686,669.0999755859375,6.797500133514404,2917.030029296875,23.369400024414062,6.607600212097168,18.103500366210938,0.888480007648468,0.7714800238609314,4.359499931335449,7.794000148773193,273.99700927734375,13313.0,64.41829681396484,109.9000015258789,101.54000091552734,1123.1400146484375,18.215129852294922,4.260000228881836,322.0,8.497550010681152,1.3908799886703491,3.2699999809265137,49.35300064086914,104.69999694824219,3.73757004737854,57.04130172729492,8.687040328979492,1.3825700283050537,34.029998779296875,2.4433000087738037,3.550960063934326,,22396.0,12.815699577331543
2017-06-09,15.930999755859375,1.328320026397705,79.41799926757812,3.2595999240875244,1.3522100448608398,0.9691600203514099,658.1300048828125,6.799200057983398,2913.75,23.47949981689453,6.648809909820557,18.098499298095703,0.894070029258728,0.7859799861907959,4.390100002288818,7.796500205993652,275.11700439453125,13293.0,64.243896484375,109.85900115966797,101.62000274658203,1121.510009765625,18.161500930786133,4.262499809265137,322.0,8.513839721679688,1.389140009880066,3.208699941635132,49.40800094604492,104.70999908447266,3.75314998626709,56.87329864501953,8.732430458068848,1.3827999830245972,34.07400131225586,2.4442999362945557,3.5309200286865234,,22301.0,12.917169570922852
2017-06-12,15.90250015258789,1.3279999494552612,79.08200073242188,3.1777000427246094,1.3456100225448608,0.9691399931907654,663.0,6.784800052642822,2929.840087890625,23.372350692749023,6.640200138092041,18.104000091552734,0.8927000164985657,0.7849799990653992,4.376699924468994,7.796070098876953,274.5610046386719,13295.0,64.37699890136719,110.28800201416016,101.55999755859375,1124.0999755859375,18.125579833984375,4.262499809265137,321.0,8.498600006103516,1.3872900009155273,3.1935999393463135,49.49599838256836,103.26000213623047,3.7362499237060547,57.01240158081055,8.712430000305176,1.3839999437332153,34.060001373291016,2.4260001182556152,3.5387001037597656,,22361.0,12.911120414733887
2017-06-13,15.913999557495117,1.3249000310897827,79.26300048828125,3.316699981689453,1.3311400413513184,0.9690799713134766,661.2000122070312,6.797599792480469,2928.25,23.387109756469727,6.640900135040283,18.079999923706055,0.8931599855422974,0.7892799973487854,4.357999801635742,7.798999786376953,274.5589904785156,13314.0,64.46910095214844,109.9209976196289,101.51000213623047,1130.489990234375,18.056339263916016,4.261499881744385,321.0,8.474169731140137,1.3877099752426147,3.2799999713897705,49.395999908447266,104.69999694824219,3.7431800365448,57.000099182128906,8.748140335083008,1.3845200538635254,34.060001373291016,2.4502999782562256,3.515700101852417,,22332.0,12.819860458374023
2017-06-14,15.861000061035156,1.3265999555587769,79.12699890136719,3.3143999576568604,1.3240400552749634,0.9688199758529663,660.7999877929688,6.798799991607666,2934.0,23.32069969177246,6.632919788360596,18.105499267578125,0.8921499848365784,0.784280002117157,4.376200199127197,7.797500133514404,272.9949951171875,13282.0,64.35749816894531,110.05500030517578,101.61000061035156,1126.550048828125,17.94198989868164,4.255499839782715,322.0,8.434550285339355,1.387619972229004,3.2725000381469727,49.404998779296875,104.80000305175781,3.7385001182556152,56.87770080566406,8.690199851989746,1.3816200494766235,33.904998779296875,2.4498000144958496,3.5173399448394775,,22352.0,12.773039817810059
2017-06-15,15.89799976348877,1.3177000284194946,79.18599700927734,3.272599935531616,1.3242299556732178,0.971340000629425,660.7999877929688,6.790999889373779,2951.169921875,23.354299545288086,6.630929946899414,17.976999282836914,0.8916000127792358,0.7840399742126465,4.385000228881836,7.798500061035156,272.81500244140625,13286.0,64.16580200195312,109.44599914550781,101.66000366210938,1118.9000244140625,18.03104019165039,4.264999866485596,232.0,8.427359580993652,1.3801300525665283,3.2699999809265137,49.374000549316406,104.75,3.7426300048828125,57.42599868774414,8.705690383911133,1.375599980354309,33.880001068115234,2.4832000732421875,3.48865008354187,,22345.0,12.627610206604004
